NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Capture 2020-10-17 12-48-17.nano
Sample Name,"10/17/20"
Operator Name,"A549"
Time Captured,12:48:17  17/10/2020
Pre-treatment,""
Diluent,"PBS 1:500"
Remarks,""

Filename:,Capture 2020-10-17 12-48-37,Capture 2020-10-17 12-49-54,Capture 2020-10-17 12-51-01,Capture 2020-10-17 12-52-08,Capture 2020-10-17 12-53-52,

[Conditions]
Temperature/C,23.376,23.426,23.443,23.46,23.456,
Viscosity/cP,0.92258,0.921506,0.921141,0.920777,0.920863,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Green,Green,Green,Green,Green,
Camera Level,16,15,14,14,14,
Slider Shutter,1300,1206,1259,1259,1259,
Slider Gain,512,366,366,366,366,
Shutter/ms,32.5,30.15,31.48,31.48,31.48,
Camera Histogram Upper Limit,2470,3294,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,50,50,

[Settings]
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,15.5139,15.0056,14.2949,15.7882,14.3822,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),2.52e+008,1.55e+008,9.61e+007,1.42e+008,1.32e+008,1.56e+008,2.61e+007
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,
Particles per frame,32.5,21.2,12.6,11.6,10.7,17.7,4.1
Centres per frame,46.9,28.3,15.7,14.1,12.8,23.6,6.5
Completed tracks,9752,5752,2906,2520,2265,
X-Drift (pix/frame),-4.5,-4.6,-4.8,-4.7,-4.8,
Y-Drift (pix/frame),-0.8,-0.8,-0.9,-1.0,-0.9,

[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,Noise detected,Noise detected,Noise detected,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,High noise,Noise detected,Noise detected,Noise detected,Noise detected,
Vibration detected,Minor vibration,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,Capture 2020-10-17 12-48-37,Capture 2020-10-17 12-49-54,Capture 2020-10-17 12-51-01,Capture 2020-10-17 12-52-08,Capture 2020-10-17 12-53-52,Average,Standard Error
Mean,119.9,133.6,138.0,149.3,140.9,136.3,4.8
Mode,115.5,114.2,105.0,108.1,118.5,112.2,2.5
SD,48.2,50.2,49.9,62.9,58.6,54.0,2.9
D10,56.6,66.9,80.5,83.6,89.9,75.5,6.0
D50,101.6,109.8,118.6,125.5,117.1,114.5,4.1
D90,191.1,203.2,189.1,210.7,203.4,199.5,4.1
Valid Tracks,1907.0,1221.0,728.0,674.0,620.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
5.0,0,0,0,0,0,0,0,
15.0,0,0,0,0,0,0,0,
25.0,0,13882,2423,12,0,3263,2696,
35.0,5024,74041,217951,47025,3861,69580,39389,
45.0,947204,167047,604057,878875,594211,638279,137567,
55.0,13275914,1834580,779883,1142958,41894,3415046,2482128,
65.0,16721717,7868151,924071,784525,65227,5272738,3193653,
75.0,16003311,8120215,1764216,1403593,510110,5560289,2939409,
85.0,18661814,8495039,4831834,5513527,2841409,8068725,2799345,
95.0,23399637,11671517,9829286,12265122,9224491,13278011,2592092,
105.0,30891381,18015632,11541058,14239881,17430090,18423609,3327701,
115.0,38980204,21791090,9809111,13765814,20821224,21033488,5007541,
125.0,32401847,16583401,8970035,13468985,20200304,18324915,3973687,
135.0,11985453,10343222,9324076,13587822,17500990,12548313,1435000,
145.0,2429127,6613253,8329067,13081343,12177802,8526118,1935924,
155.0,665979,4499981,5929644,11104329,6877048,5815396,1693514,
165.0,584861,3429165,4204183,8357499,3713467,4057835,1246673,
175.0,1608026,3226381,3504990,5943402,2178732,3292306,746818,
185.0,5787317,3853681,3257657,4226657,1480740,3721210,699157,
195.0,11557898,5133534,2918481,3134434,1232767,4795423,1800274,
205.0,10733306,6131483,2290144,2523237,1291523,4593939,1740073,
215.0,6872286,5698764,1571331,2235677,1626215,3600855,1117707,
225.0,4441042,4208984,1010273,2084382,2198798,2788696,661600,
235.0,2668577,2774910,666227,1866655,2768991,2149072,407704,
245.0,879925,1776037,481498,1472084,2810240,1483957,400890,
255.0,87114,1108178,389937,984622,2012565,916483,332257,
265.0,1945,662979,348415,575008,918011,501271,154588,
275.0,12,391805,331755,320426,255404,259881,68479,
285.0,0,244990,324246,193102,45273,161522,60847,
295.0,0,169202,315370,142416,5893,126576,58437,
305.0,0,125019,298867,138893,705,112697,55109,
315.0,0,89442,272844,178991,101,108276,52850,
325.0,0,54868,239140,281819,22,115170,60539,
335.0,0,26162,201610,478885,9,141333,92408,
345.0,0,9200,164191,772907,7,189261,149220,
355.0,0,2372,129688,1071393,9,240692,209170,
365.0,6,462,99529,1200214,18,260046,235828,
375.0,591,71,74114,1062342,49,227434,209217,
385.0,21543,9,53303,748170,156,164636,146208,
395.0,202568,1,36757,430052,498,133975,82941,
405.0,364823,0,24087,208620,1474,119801,72608,
415.0,102907,0,14855,88282,3793,41967,22150,
425.0,4016,0,8541,33488,8195,10848,5871,
435.0,20,0,4538,11603,14670,6166,3003,
445.0,0,0,2212,3711,21827,5550,4130,
455.0,0,0,983,1100,27422,5901,5385,
465.0,0,0,396,303,29832,6106,5932,
475.0,0,0,145,77,29005,5845,5790,
485.0,0,0,48,18,26108,5235,5218,
495.0,0,0,14,4,22560,4516,4511,
505.0,0,0,4,0,19376,3876,3875,
515.0,0,0,0,0,17056,3412,3411,
525.0,0,0,0,0,15773,3155,3155,
535.0,0,0,0,0,15583,3117,3117,
545.0,0,0,0,0,16581,3316,3316,
555.0,0,0,0,0,18991,3798,3798,
565.0,0,0,0,0,23206,4641,4641,
575.0,0,0,0,0,29786,5957,5957,
585.0,0,0,0,0,39338,7868,7868,
595.0,0,0,0,0,52200,10440,10440,
605.0,0,0,0,0,67872,13574,13574,
615.0,0,0,0,0,84348,16870,16870,
625.0,0,0,0,0,97868,19574,19574,
635.0,0,0,0,0,103790,20758,20758,
645.0,0,0,0,0,98753,19751,19751,
655.0,0,0,0,0,82984,16597,16597,
665.0,0,0,0,0,60796,12159,12159,
675.0,0,0,0,0,38436,7687,7687,
685.0,0,0,0,0,20804,4161,4161,
695.0,0,0,0,0,9586,1917,1917,
705.0,0,0,0,0,3745,749,749,
715.0,0,0,0,0,1238,248,248,
725.0,0,0,0,0,346,69,69,
735.0,0,0,0,0,82,16,16,
