NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Capture 2021-01-28 11-07-20.nano
Sample Name,"A549-6/28/20"
Operator Name,"yq"
Time Captured,11:07:20  28/01/2021
Pre-treatment,""
Diluent,"200"
Remarks,""

Filename:,Capture 2021-01-28 11-07-31,Capture 2021-01-28 11-08-40,Capture 2021-01-28 11-09-48,

[Conditions]
Temperature/C,22.739,22.817,22.837,
Viscosity/cP,0.93644,0.934725,0.934286,
Camera Type,sCMOS,sCMOS,sCMOS,
Laser Type,Green,Green,Green,
Camera Level,14,14,14,
Slider Shutter,1259,1259,1259,
Slider Gain,366,366,366,
Shutter/ms,31.48,31.48,31.48,
Camera Histogram Upper Limit,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,30,30,30,

[Settings]
Detection Threshold,4,4,4,
Max Jump Mode,Auto,Auto,Auto,
Max Jump Distance,12.4198,12.2025,12.4401,
Blur,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,
First frame,0,0,0,
Total frames analysed,1498,1498,1498,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),7.48e+008,6.98e+008,7.32e+008,7.26e+008,1.47e+007
Concentration Upgrade?,Yes,Yes,Yes,
Particles per frame,111.3,104.4,105.9,107.2,2.1
Centres per frame,122.1,119.5,113.2,118.3,2.6
Completed tracks,22949,21597,20302,
X-Drift (pix/frame),-2.7,-2.8,-2.8,
Y-Drift (pix/frame),-0.1,-0.1,-0.1,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,
Completed Tracks,OK,OK,OK,
Particles per frame,OK,OK,OK,
Noise level,No,No,No,
Brightness,OK,OK,OK,
Detection Threshold,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,
Concentration,OK,OK,OK,
Video length,OK,OK,OK,
Noise level,No,No,No,
Vibration detected,No,No,No,
Vibration correction applied,No,No,No,
Settings changed?,No,No,No,
Errors (1),,,,
Errors (2),,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,Capture 2021-01-28 11-07-31,Capture 2021-01-28 11-08-40,Capture 2021-01-28 11-09-48,Average,Standard Error
Mean,138.7,140.7,137.9,139.1,0.8
