NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Capture 2021-01-28 11-20-05.nano
Sample Name,"H460-10/23/20"
Operator Name,"yq"
Time Captured,11:20:05  28/01/2021
Pre-treatment,""
Diluent,"200"
Remarks,""

Filename:,Capture 2021-01-28 11-20-29,Capture 2021-01-28 11-21-42,Capture 2021-01-28 11-22-50,

[Conditions]
Temperature/C,23.137,23.186,23.232,
Viscosity/cP,0.927742,0.92668,0.925685,
Camera Type,sCMOS,sCMOS,sCMOS,
Laser Type,Green,Green,Green,
Camera Level,14,14,14,
Slider Shutter,1259,1259,1259,
Slider Gain,366,366,366,
Shutter/ms,31.48,31.48,31.48,
Camera Histogram Upper Limit,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,20,20,50,

[Settings]
Detection Threshold,4,4,4,
Max Jump Mode,Auto,Auto,Auto,
Max Jump Distance,12.5914,12.5134,12.0914,
Blur,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,
First frame,0,0,0,
Total frames analysed,1498,1498,1498,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),7.70e+008,7.47e+008,7.51e+008,7.56e+008,7.19e+006
Concentration Upgrade?,Yes,Yes,Yes,
Particles per frame,113.5,108.1,111.3,111.0,1.6
Centres per frame,125.5,118.8,143.6,129.3,7.4
Completed tracks,23552,22102,27017,
X-Drift (pix/frame),-1.8,-1.7,-4.5,
Y-Drift (pix/frame),-0.1,-0.1,-0.1,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,
Particles per frame,OK,OK,OK,
Noise level,No,No,Noise detected,
Brightness,OK,OK,OK,
Detection Threshold,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,
Concentration,OK,OK,OK,
Video length,OK,OK,OK,
Noise level,No,No,Noise detected,
Vibration detected,Minor vibration,Minor vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,
Settings changed?,No,No,No,
Errors (1),,,,
Errors (2),,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,Capture 2021-01-28 11-20-29,Capture 2021-01-28 11-21-42,Capture 2021-01-28 11-22-50,Average,Standard Error
Mean,142.3,131.6,136.3,136.7,3.1
Mode,103.1,98.9,107.2,103.1,2.4
SD,60.8,43.7,48.7,51.1,5.1
D10,81.7,81.8,82.8,82.1,0.4
D50,112.0,106.5,109.7,109.4,1.6
D90,212.9,168.3,201.2,194.2,13.3
Valid Tracks,5962.0,5980.0,5872.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
5.0,0,0,0,0,0,
15.0,0,0,0,0,0,
25.0,0,0,0,0,0,
35.0,0,0,147,49,49,
45.0,0,0,794518,264840,264839,
55.0,7367,343,2001299,669669,665818,
65.0,1207563,100344,3826981,1711629,1104916,
75.0,12139909,3799990,11881779,9273893,2737965,
85.0,46304845,43830736,34371297,41502293,3636327,
95.0,105198059,151067570,78402812,111556147,21216037,
105.0,121868422,137885621,134277683,131343909,4850874,
115.0,85574675,56321044,112633447,84843056,16260106,
125.0,64227381,31551045,59689170,51822532,10220058,
135.0,58701281,39252032,42619811,46857708,6001060,
145.0,49259125,63341583,47896784,53499164,4936898,
155.0,34273872,73178440,53343462,53598591,11231506,
165.0,22687108,50889069,39313730,37629969,8184618,
175.0,16981856,25352523,20312034,20882138,2433159,
185.0,15468747,12728708,11031205,13076220,1292738,
195.0,16607517,8369939,9056644,11344700,2638865,
205.0,18827370,7212605,11900939,12646971,3373579,
215.0,19254727,6620285,19158340,15011117,4195508,
225.0,15836817,5626599,24146122,15203179,5355505,
235.0,10756973,4770254,16157493,10561573,3288664,
245.0,7090998,4463910,5153600,5569503,786369,
255.0,5418551,4231266,1002309,3550709,1319491,
265.0,5146200,3383193,195394,2908262,1448768,
275.0,5664490,2216814,64880,2648728,1630830,
285.0,6240873,1458574,51202,2583550,1873249,
295.0,6026861,1254215,96173,2459083,1814942,
305.0,4806870,1541855,315596,2221440,1340306,
315.0,3243172,2251311,1126227,2206903,611512,
325.0,2002585,2619424,2757520,2459843,232078,
335.0,1235625,1492761,3391053,2039813,679685,
345.0,808186,259182,1897377,988248,481400,
355.0,569718,9082,541215,373338,182314,
365.0,426516,46,103609,176724,128424,
375.0,331382,0,18895,116759,107450,
385.0,264032,0,4554,89529,87262,
395.0,217304,0,1815,73039,72134,
405.0,189187,0,1300,63496,62847,
415.0,179787,0,1604,60464,59664,
425.0,191739,0,3008,64916,63418,
435.0,232432,0,7358,79930,76281,
445.0,316528,0,20251,112260,102301,
455.0,464317,0,55102,173140,146455,
465.0,682627,0,132098,271575,209034,
475.0,914071,0,249393,387821,272796,
485.0,1000815,0,329116,443310,294498,
495.0,804768,0,266540,357102,236688,
505.0,431808,0,115309,182372,129084,
515.0,143158,0,23148,55435,44368,
525.0,27777,0,1884,9887,8961,
535.0,3058,0,55,1038,1010,
545.0,189,0,0,63,63,
555.0,7,0,0,2,2,
565.0,0,0,0,0,0,
575.0,0,0,0,0,0,
585.0,0,0,0,0,0,
595.0,0,0,0,0,0,
605.0,0,0,0,0,0,
615.0,0,0,0,0,0,
625.0,0,0,0,0,0,
635.0,0,0,0,0,0,
645.0,0,0,0,0,0,
655.0,0,0,0,0,0,
665.0,0,0,0,0,0,
675.0,0,0,0,0,0,
685.0,0,0,0,0,0,
695.0,0,0,0,0,0,
705.0,0,0,0,0,0,
715.0,0,0,0,0,0,
725.0,0,0,0,0,0,
735.0,0,0,0,0,0,
745.0,0,0,0,0,0,
755.0,0,0,0,0,0,
765.0,0,0,0,0,0,
775.0,0,0,0,0,0,
785.0,0,0,0,0,0,
795.0,0,0,0,0,0,
805.0,0,0,0,0,0,
815.0,0,0,0,0,0,
825.0,0,0,0,0,0,
835.0,0,0,0,0,0,
845.0,0,0,0,0,0,
855.0,0,0,0,0,0,
865.0,0,0,0,0,0,
875.0,0,0,0,0,0,
885.0,0,0,0,0,0,
895.0,0,0,0,0,0,
905.0,0,0,0,0,0,
915.0,0,0,0,0,0,
925.0,0,0,0,0,0,
935.0,0,0,0,0,0,
945.0,0,0,0,0,0,
955.0,0,0,0,0,0,
965.0,0,0,0,0,0,
975.0,0,0,0,0,0,
985.0,0,0,0,0,0,
995.0,0,0,0,0,0,

Percentile,Size (nm),Size (nm),Size (nm),
0,0.0,0.0,0.0,
1,65.3,70.8,60.7,
2,70.4,72.5,67.1,
3,72.1,74.2,71.2,
4,73.8,75.9,73.4,
