NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Capture 2023-12-20 15-52-31.nano
Sample Name,"lip"
Operator Name,"H460 Nan"
Time Captured,15:52:31  20/12/2023
Pre-treatment,""
Diluent,"100"
Remarks,""

Filename:,Capture 2023-12-20 15-52-53,Capture 2023-12-20 15-56-18,Capture 2023-12-20 15-57-25,

[Conditions]
Temperature/C,22.873,23.09,23.117,
Viscosity/cP,0.933497,0.928762,0.928176,
Camera Type,sCMOS,sCMOS,sCMOS,
Laser Type,Green,Green,Green,
Camera Level,14,14,14,
Slider Shutter,1259,1259,1259,
Slider Gain,366,366,366,
Shutter/ms,31.48,31.48,31.48,
Camera Histogram Upper Limit,6588,6588,6588,
Camera Histogram Lower Limit,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,

[Settings]
Detection Threshold,20,20,20,
Max Jump Mode,Auto,Auto,Auto,
Max Jump Distance,12.9119,13.4066,13.504,
Blur,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,
First frame,0,0,0,
Total frames analysed,1498,1498,1498,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),6.28e+008,9.12e+008,8.78e+008,8.06e+008,8.95e+007
Concentration Upgrade?,Yes,Yes,Yes,
Particles per frame,20.6,28.5,29.7,26.3,2.9
Centres per frame,23.6,32.8,34.3,30.2,3.3
Completed tracks,4066,5744,6015,
X-Drift (pix/frame),-4.5,-4.5,-4.5,
Y-Drift (pix/frame),-0.0,-0.2,-0.1,

[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,
Completed Tracks,OK,OK,OK,
Particles per frame,OK,OK,OK,
Noise level,No,No,No,
Brightness,OK,OK,OK,
Detection Threshold,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,
Concentration,OK,OK,OK,
Video length,OK,OK,OK,
Noise level,No,No,No,
Vibration detected,Minor vibration,Minor vibration,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,
Settings changed?,No,No,No,
Errors (1),,,,
Errors (2),,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,Capture 2023-12-20 15-52-53,Capture 2023-12-20 15-56-18,Capture 2023-12-20 15-57-25,Average,Standard Error
Mean,136.7,132.0,132.7,133.8,1.5
Mode,134.3,123.3,124.6,127.4,3.5
SD,26.3,25.8,26.6,26.2,0.2
D10,93.5,88.5,89.4,90.5,1.5
D50,125.2,120.3,120.0,121.8,1.7
D90,159.5,157.8,157.2,158.1,0.7
Valid Tracks,1301.0,1863.0,1888.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error
5.0,0,0,0,0,0,
15.0,0,0,0,0,0,
25.0,0,0,0,0,0,
35.0,0,0,0,0,0,
45.0,2,0,0,0,0,
55.0,746,1,101,283,233,
65.0,70354,9530,45404,41763,17652,
75.0,1616651,3111741,1983816,2237403,449834,
85.0,11259221,36683774,20500573,22814523,7430068,
95.0,31759454,60198329,69585106,53847630,11371654,
105.0,51067128,91000958,95858454,79308847,14190311,
115.0,69758573,127506948,115319847,104195123,17574018,
125.0,94028237,133893778,135172635,121031550,13506703,
135.0,105178014,120644283,112114602,112645633,4472615,
145.0,90096120,105824745,88430359,94783741,5541405,
155.0,67171793,89023228,90650454,82281825,7569605,
165.0,45646057,68154380,83953335,65917924,11114753,
