NTA Single Analysis Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Capture 2023-12-20 15-52-31.nano
Sample Name,"lip"
Operator Name,"H460 Nan"
Time Captured,15:52:31  20/12/2023
Pre-treatment,""
Diluent,"100"
Remarks,""

Filename:,Capture 2023-12-20 15-52-53,

[Conditions]
Temperature/C,22.873,
Viscosity/cP,0.933497,
Camera Type,sCMOS,
Laser Type,Green,
Camera Level,14,
Slider Shutter,1259,
Slider Gain,366,
Shutter/ms,31.48,
Camera Histogram Upper Limit,6588,
Camera Histogram Lower Limit,0,
Frame rate/fps,24.9825,
Syringe Pump Speed/AU,50,

[Settings]
Detection Threshold,20,
Max Jump Mode,Auto,
Max Jump Distance,12.9119,
Blur,Auto,
Min Track Length,Auto,
First frame,0,
Total frames analysed,1498,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],
Dilution factor (concentrations adjusted for this factor),
Concentration (Particles / ml),6.28e+008,
Concentration Upgrade?,Yes,
Particles per frame,20.6,
Centres per frame,23.6,
Completed tracks,4066,
X-Drift (pix/frame),-4.5,
Y-Drift (pix/frame),-0.0,

[Concentration Warnings]
Validity of concentration measurement,OK,
Completed Tracks,OK,
Particles per frame,OK,
Noise level,No,
Brightness,OK,
Detection Threshold,OK,
Camera Histogram Lower Limit,OK,

[Information]
Completed Tracks,OK,
Concentration,OK,
Video length,OK,
Noise level,No,
Vibration detected,Minor vibration,
Vibration correction applied,Yes,
Settings changed?,No,
Errors (1),,
Errors (2),,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,Capture 2023-12-20 15-52-53,
Mean,136.7,
Mode,134.3,
SD,26.3,
D10,93.5,
D50,125.2,
D90,159.5,
Valid Tracks,1301.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),
5.0,0,
15.0,0,
25.0,0,
35.0,0,
45.0,2,
55.0,746,
65.0,70354,
75.0,1616651,
85.0,11259221,
95.0,31759454,
105.0,51067128,
115.0,69758573,
125.0,94028237,
135.0,105178014,
145.0,90096120,
155.0,67171793,
165.0,45646057,
175.0,26367487,
185.0,13441224,
195.0,7274811,
205.0,4860730,
215.0,3792239,
225.0,2701004,
235.0,1350258,
245.0,418089,
255.0,84228,
265.0,12981,
275.0,1821,
285.0,258,
295.0,38,
305.0,5,
315.0,0,
325.0,0,
335.0,0,
345.0,0,
355.0,0,
365.0,0,
375.0,0,
385.0,0,
395.0,0,
405.0,0,
415.0,0,
425.0,0,
435.0,0,
445.0,0,
455.0,0,
465.0,0,
475.0,0,
485.0,0,
495.0,0,
505.0,0,
515.0,0,
525.0,0,
535.0,0,
545.0,0,
555.0,0,
565.0,0,
575.0,0,
585.0,0,
595.0,0,
605.0,0,
615.0,0,
625.0,0,
635.0,0,
645.0,0,
655.0,0,
665.0,0,
675.0,0,
685.0,0,
695.0,0,
705.0,0,
715.0,0,
725.0,0,
735.0,0,
745.0,0,
755.0,0,
765.0,0,
775.0,0,
785.0,0,
795.0,0,
805.0,0,
815.0,0,
825.0,0,
835.0,0,
845.0,0,
855.0,0,
865.0,0,
875.0,0,
885.0,0,
895.0,0,
905.0,0,
915.0,0,
925.0,0,
935.0,0,
945.0,0,
955.0,0,
965.0,0,
975.0,0,
985.0,0,
995.0,0,

Percentile,Size (nm),
0,0.0,
1,74.1,
2,79.7,
3,81.9,
4,83.8,
5,85.8,
6,87.8,
7,89.8,
8,91.1,
9,92.3,
10,93.5,
11,94.8,
12,96.0,
13,97.2,
14,98.5,
15,99.7,
16,100.7,
17,101.6,
18,102.5,
19,103.4,
20,104.3,
21,105.2,
22,106.1,
23,107.0,
24,107.9,
25,108.8,
26,109.7,
27,110.4,
28,111.1,
29,111.8,
30,112.4,
31,113.1,
32,113.8,
33,114.4,
34,115.1,
35,115.8,
36,116.4,
37,117.1,
38,117.8,
39,118.4,
40,119.1,
41,119.8,
42,120.4,
43,121.0,
44,121.6,
45,122.2,
46,122.8,
47,123.4,
48,124.0,
49,124.6,
50,125.2,
51,125.8,
52,126.4,
53,127.0,
54,127.6,
55,128.2,
56,128.8,
57,129.4,
58,130.0,
59,130.6,
60,131.3,
61,132.0,
62,132.7,
63,133.4,
64,134.1,
65,134.8,
66,135.5,
67,136.2,
68,136.9,
69,137.6,
70,138.3,
71,139.0,
72,139.7,
73,140.5,
74,141.5,
75,142.4,
76,143.3,
77,144.3,
78,145.2,
79,146.1,
80,147.1,
81,148.0,
82,148.9,
83,149.9,
84,151.2,
85,152.6,
86,154.0,
87,155.3,
88,156.7,
89,158.1,
90,159.5,
91,161.4,
92,163.8,
93,166.2,
94,168.6,
95,171.9,
96,176.6,
97,182.3,
98,191.4,
99,205.5,
100,990.0,

