NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Capture 2023-12-20 16-51-05.nano
Sample Name,"lip"
Operator Name,"293A Nan"
Time Captured,16:51:05  20/12/2023
Pre-treatment,""
Diluent,"100"
Remarks,""

Filename:,Capture 2023-12-20 16-54-41,Capture 2023-12-20 16-55-52,Capture 2023-12-20 16-58-12,

[Conditions]
Temperature/C,24.19,24.268,24.33,
Viscosity/cP,0.905341,0.903716,0.902428,
Camera Type,sCMOS,sCMOS,sCMOS,
Laser Type,Green,Green,Green,
Camera Level,15,15,15,
Slider Shutter,1206,1206,1206,
Slider Gain,366,366,366,
Shutter/ms,30.15,30.15,30.15,
Camera Histogram Upper Limit,3294,3294,3294,
Camera Histogram Lower Limit,0,0,0,
Frame rate/fps,24.9825,24.9825,24.9825,
Syringe Pump Speed/AU,50,50,50,

[Settings]
Detection Threshold,28,28,28,
Max Jump Mode,Auto,Auto,Auto,
Max Jump Distance,10.1316,14.3309,14.3309,
Blur,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,
First frame,0,0,0,
Total frames analysed,1498,1498,1498,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,
Concentration (Particles / ml),1.05e+009,1.15e+009,1.01e+009,1.07e+009,4.22e+007
Concentration Upgrade?,Yes,Yes,Yes,
Particles per frame,24.8,32.4,29.8,29.0,2.2
Centres per frame,105.9,170.6,177.7,151.4,22.8
Completed tracks,8932,14023,11226,
X-Drift (pix/frame),-2.8,-3.1,-3.2,
Y-Drift (pix/frame),0.2,0.3,0.3,

[Concentration Warnings]
Validity of concentration measurement,Unreliable,Unreliable,Unreliable,
Completed Tracks,OK,OK,OK,
Particles per frame,OK,OK,OK,
Noise level,High noise,High noise,High noise,
Brightness,OK,OK,OK,
Detection Threshold,Value out of range,Value out of range,Value out of range,
Camera Histogram Lower Limit,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,
Concentration,OK,OK,OK,
Video length,OK,OK,OK,
Noise level,High noise,High noise,High noise,
Vibration detected,Moderate vibration,Minor vibration,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,
Settings changed?,No,No,No,
Errors (1),,,,
Errors (2),,,,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
