Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Ln(Adjusted intensity)/AU,Start frame,Tracklength,Included in distribution?,
2,166.549,2.88877e+006,4.34699,0,22,True,
8,426.211,1.12883e+006,2.76611,0,2,False,
11,182.68,2.63368e+006,2.96389,0,4,False,
13,455.231,1.05687e+006,3.07367,0,2,False,
14,42.8164,1.12368e+007,2.8226,0,2,False,
15,139.44,3.45037e+006,3.14957,33,2,False,
17,2094.78,229676,2.96929,0,2,False,
19,974.019,493954,3.3171,0,3,False,
20,277.609,1.73309e+006,2.65762,2,5,False,
21,50.597,9.50889e+006,3.42296,0,2,False,
22,54.8257,8.77546e+006,3.43146,0,4,False,
23,116.743,4.12119e+006,3.81887,0,5,False,
24,73.8413,6.5156e+006,4.31991,0,5,True,
25,122.144,3.93895e+006,4.37138,0,30,True,
27,103.336,4.65587e+006,4.74902,0,7,True,
28,161.879,2.9721e+006,4.51646,0,34,True,
29,102.559,4.69116e+006,5.04531,0,8,True,
32,350.805,1.37148e+006,2.68307,1,2,False,
34,145.595,3.30452e+006,3.02604,1,7,True,
35,51.8774,9.27419e+006,3.44872,1,3,False,
37,67.41,7.13723e+006,3.12769,2,2,False,
38,361.419,1.3312e+006,3.28258,2,5,False,
41,106.613,4.51279e+006,4.498,2,19,True,
46,277.784,1.732e+006,2.89416,3,2,False,
47,579.335,830471,2.83554,3,2,False,
48,287.293,1.67467e+006,2.87285,4,2,False,
50,44.2175,1.08808e+007,2.91503,3,2,False,
51,328.076,1.46649e+006,2.68079,4,4,False,
52,141.86,3.39152e+006,4.38032,4,30,True,
55,225.613,2.1325e+006,2.88036,4,2,False,
56,81.1507,5.92873e+006,4.01071,7,2,False,
57,80.675,5.96369e+006,3.51263,4,3,False,
60,174.643,2.75488e+006,4.09753,4,4,False,
61,3381.97,142261,3.36936,5,2,False,
63,114.572,4.19928e+006,3.26023,5,7,True,
64,725.413,663237,2.65199,5,2,False,
67,254.963,1.88703e+006,3.10737,5,5,False,
69,179.858,2.675e+006,3.49516,5,2,False,
71,159.167,3.02275e+006,3.09804,6,2,False,
75,231.247,2.08055e+006,3.36848,8,3,False,
81,140.335,3.42837e+006,3.36607,11,2,False,
82,168.738,2.85129e+006,2.84195,7,8,True,
83,195.511,2.46084e+006,3.01329,7,4,False,
85,158.169,3.04181e+006,4.85294,7,2,False,
86,76.8359,6.26167e+006,3.20709,0,2,False,
87,163.73,2.93851e+006,2.84666,8,2,False,
88,270.84,1.7764e+006,2.76131,8,2,False,
92,188.423,2.5534e+006,3.22467,9,2,False,
94,282.433,1.70349e+006,2.87902,9,4,False,
95,189.951,2.53287e+006,2.78804,14,2,False,
96,19.9705,2.40916e+007,3.51036,8,2,False,
98,71.9655,6.68543e+006,3.92986,8,10,True,
99,171.49,2.80553e+006,2.78628,9,2,False,
101,92.0992,5.22394e+006,3.07146,9,2,False,
102,35.013,1.37412e+007,3.16737,9,3,False,
105,237.12,2.02902e+006,2.62706,10,3,False,
106,161.303,2.98271e+006,2.57307,9,2,False,
111,176.898,2.71976e+006,3.27622,9,3,False,
112,110.995,4.33462e+006,3.5233,9,18,True,
114,86.3566,5.57132e+006,3.6818,9,4,False,
115,117.182,4.10577e+006,4.95078,9,49,True,
116,152.038,3.16448e+006,5.13964,9,2,False,
117,179.852,2.67509e+006,3.13503,4,3,False,
119,389.908,1.23393e+006,2.71194,10,2,False,
122,225.104,2.13733e+006,2.84832,11,2,False,
128,108.841,4.42038e+006,2.68329,10,3,False,
130,4424.81,108733,3.04007,10,2,False,
131,94.012,5.11765e+006,2.95896,10,2,False,
132,136.822,3.5164e+006,4.26505,12,2,False,
133,163.18,2.94841e+006,2.87715,13,3,False,
139,265.923,1.80925e+006,2.91193,11,2,False,
141,100.237,4.79981e+006,3.13351,6,2,False,
148,98.9752,4.86103e+006,2.90699,12,4,False,
149,8717.42,55190.7,4.11424,12,2,False,
150,146.893,3.27531e+006,2.93715,23,3,False,
153,92.7521,5.18717e+006,2.80316,13,2,False,
154,59.498,8.08634e+006,2.78902,13,3,False,
155,118.459,4.0615e+006,2.86714,13,7,True,
160,103.414,4.65237e+006,3.08593,13,2,False,
162,24.4318,1.96924e+007,2.84942,13,2,False,
163,133.372,3.60737e+006,3.0868,13,2,False,
164,69.15,6.95764e+006,4.90185,13,10,True,
165,62.7098,7.67218e+006,2.84859,7,4,False,
167,218.664,2.20027e+006,2.60102,14,3,False,
168,367.988,1.30744e+006,3.21477,14,2,False,
174,275.267,1.74784e+006,3.05604,18,3,False,
177,395.004,1.21801e+006,4.79801,14,2,False,
178,2402.63,200248,4.2445,10,2,False,
180,166.329,2.89258e+006,2.81102,15,6,False,
181,524.604,917112,2.74736,15,2,False,
183,76.9716,6.25062e+006,2.5925,15,3,False,
184,214.964,2.23815e+006,2.48975,18,2,False,
185,860.233,559291,2.46171,15,2,False,
186,91537.8,5255.98,3.34076,15,2,False,
187,81.0988,5.93253e+006,3.98044,15,8,True,
193,116.971,4.11316e+006,2.83822,16,5,False,
196,47.5906,1.01096e+007,2.92785,16,2,False,
198,84.6092,5.68639e+006,4.03261,16,20,True,
199,249.991,1.92455e+006,4.52952,16,27,True,
200,49.7319,9.6743e+006,2.87069,8,6,True,
201,109.928,4.37668e+006,2.50075,11,2,False,
202,242.33,1.9854e+006,2.77625,18,2,False,
204,447.053,1.07621e+006,3.09041,18,3,False,
207,231.441,2.0788e+006,3.25782,18,2,False,
208,279.569,1.72094e+006,3.31098,18,2,False,
209,214.665,2.24127e+006,2.98626,17,2,False,
211,127.945,3.76039e+006,3.21055,18,2,False,
213,324.601,1.48219e+006,2.75769,18,2,False,
214,278.035,1.73043e+006,2.91709,18,2,False,
215,154.24,3.11929e+006,3.03688,18,2,False,
216,48.1751,9.98692e+006,2.57307,18,2,False,
217,253.355,1.899e+006,2.91054,18,3,False,
221,72.8346,6.60566e+006,2.90777,18,2,False,
223,234.934,2.04789e+006,3.961,18,2,False,
225,254.556,1.89004e+006,2.49762,19,2,False,
227,187.17,2.57051e+006,2.85711,19,2,False,
231,65.1982,7.37936e+006,3.46285,19,6,True,
233,173.603,2.77139e+006,2.87661,19,2,False,
235,92.6249,5.19429e+006,3.01842,19,2,False,
238,98.5232,4.88332e+006,2.78334,20,2,False,
239,211.471,2.27511e+006,3.0448,20,5,False,
243,315.889,1.52307e+006,2.6213,20,2,False,
246,143.131,3.36141e+006,2.84749,20,4,False,
248,293.377,1.63994e+006,2.66401,20,2,False,
252,146.485,3.28444e+006,3.3448,20,2,False,
253,127.922,3.76105e+006,3.61467,20,8,True,
255,93.0939,5.16812e+006,2.51137,15,3,False,
256,233.633,2.0593e+006,3.0999,21,3,False,
260,70.6763,6.80739e+006,2.7697,21,3,False,
261,167.723,2.86855e+006,2.97999,33,2,False,
263,835.04,576165,3.63617,21,2,False,
264,127.833,3.76366e+006,4.14638,21,7,True,
265,158.342,3.03849e+006,2.86257,16,2,False,
266,244.775,1.96556e+006,2.89627,14,2,False,
267,301.904,1.59362e+006,2.67062,22,3,False,
268,348.396,1.38096e+006,2.65132,22,2,False,
272,199.559,2.41092e+006,2.98738,22,3,False,
274,243.011,1.97983e+006,3.02028,23,2,False,
278,291.715,1.64928e+006,2.61505,23,2,False,
282,6655.39,72290.4,2.81121,23,2,False,
283,354.457,1.35735e+006,2.7691,23,2,False,
285,252.755,1.90351e+006,2.74797,23,2,False,
286,204.022,2.35818e+006,2.85327,23,2,False,
287,288.836,1.66572e+006,2.92598,29,3,False,
288,78.9422,6.09459e+006,3.10617,23,2,False,
289,213.963,2.24862e+006,3.03642,23,2,False,
293,177.724,2.70713e+006,3.01936,24,2,False,
294,325.034,1.48022e+006,3.0989,23,2,False,
298,194.582,2.47259e+006,2.74675,23,2,False,
300,272.132,1.76797e+006,3.03046,24,2,False,
304,564.124,852864,3.47717,23,3,False,
305,171.551,2.80454e+006,4.93264,23,20,True,
309,54.9995,8.74774e+006,2.95649,24,2,False,
312,224.226,2.1457e+006,2.75284,24,2,False,
322,71.5364,6.72554e+006,3.72892,24,12,True,
323,282.488,1.70315e+006,3.44569,24,3,False,
324,98.5016,4.8844e+006,4.07067,24,21,True,
327,582.552,825884,2.53907,25,2,False,
337,227.653,2.1134e+006,2.98818,26,2,False,
341,191.162,2.51682e+006,2.52544,26,2,False,
344,204.458,2.35315e+006,2.90204,26,2,False,
347,361.389,1.33131e+006,3.5149,37,2,False,
348,216.844,2.21875e+006,2.87015,26,4,False,
350,194.792,2.46992e+006,4.13503,12,11,True,
354,216.905,2.21812e+006,3.35777,27,7,False,
357,131.786,3.65078e+006,2.67128,27,2,False,
