NTA Single Analysis Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,NTA 3.2 Dev Build 3.2.16
Experiment Name,Capture 2023-12-20 16-51-05.nano
Sample Name,"lip"
Operator Name,"293A Nan"
Time Captured,16:51:05  20/12/2023
Pre-treatment,""
Diluent,"100"
Remarks,""

Filename:,Capture 2023-12-20 16-58-12,

[Conditions]
Temperature/C,24.33,
Viscosity/cP,0.902428,
Camera Type,sCMOS,
Laser Type,Green,
Camera Level,15,
Slider Shutter,1206,
Slider Gain,366,
Shutter/ms,30.15,
Camera Histogram Upper Limit,3294,
Camera Histogram Lower Limit,0,
Frame rate/fps,24.9825,
Syringe Pump Speed/AU,50,

[Settings]
Detection Threshold,28,
Max Jump Mode,Auto,
Max Jump Distance,14.3309,
Blur,Auto,
Min Track Length,Auto,
First frame,0,
Total frames analysed,1498,

[Exclusion Regions]
No Exclusion Regions Used,

[Results],
Dilution factor (concentrations adjusted for this factor),
Concentration (Particles / ml),1.01e+009,
Concentration Upgrade?,Yes,
Particles per frame,29.8,
Centres per frame,177.7,
Completed tracks,11226,
X-Drift (pix/frame),-3.2,
Y-Drift (pix/frame),0.3,

[Concentration Warnings]
Validity of concentration measurement,Unreliable,
Completed Tracks,OK,
Particles per frame,OK,
Noise level,High noise,
Brightness,OK,
Detection Threshold,Value out of range,
Camera Histogram Lower Limit,OK,

[Information]
Completed Tracks,OK,
Concentration,OK,
Video length,OK,
Noise level,High noise,
Vibration detected,Minor vibration,
Vibration correction applied,Yes,
Settings changed?,No,
Errors (1),,
Errors (2),,

[Data Included]
Size distribution - Number weighting - With Percentiles

[Size Data]
Analysis Method,FTLA,
Weighting,Number,
Filename,Capture 2023-12-20 16-58-12,
Mean,102.6,
Mode,98.1,
SD,18.8,
D10,70.4,
D50,91.3,
D90,118.0,
Valid Tracks,1462.0,
Graph Data
Bin centre (nm), Concentration (particles / ml),
5.0,0,
15.0,0,
25.0,0,
35.0,25,
45.0,282342,
55.0,11211520,
65.0,28151481,
75.0,56044065,
85.0,138149058,
95.0,240654853,
105.0,217068148,
115.0,140000987,
125.0,91874619,
135.0,50337613,
145.0,22527488,
155.0,8033888,
165.0,1603471,
175.0,129618,
185.0,4162,
195.0,65,
205.0,0,
215.0,0,
225.0,0,
235.0,0,
245.0,0,
255.0,0,
265.0,0,
275.0,0,
285.0,0,
295.0,0,
305.0,0,
315.0,0,
325.0,0,
335.0,0,
345.0,0,
355.0,0,
365.0,0,
375.0,0,
385.0,0,
395.0,0,
405.0,0,
415.0,0,
425.0,0,
435.0,0,
445.0,0,
455.0,0,
465.0,0,
475.0,0,
485.0,0,
495.0,0,
505.0,0,
515.0,0,
525.0,0,
535.0,0,
545.0,0,
555.0,0,
565.0,0,
575.0,0,
585.0,0,
595.0,0,
605.0,0,
615.0,0,
625.0,0,
635.0,0,
645.0,0,
655.0,0,
665.0,0,
675.0,0,
685.0,0,
695.0,0,
705.0,0,
715.0,0,
725.0,0,
735.0,0,
745.0,0,
755.0,0,
765.0,0,
775.0,0,
785.0,0,
795.0,0,
805.0,0,
815.0,0,
825.0,0,
835.0,0,
845.0,0,
855.0,0,
865.0,0,
875.0,0,
885.0,0,
895.0,0,
905.0,0,
915.0,0,
925.0,0,
935.0,0,
945.0,0,
955.0,0,
965.0,0,
975.0,0,
985.0,0,
995.0,0,

Percentile,Size (nm),
0,0.0,
1,48.7,
2,53.1,
3,56.6,
4,60.1,
5,61.9,
6,63.7,
7,65.5,
8,67.3,
9,69.1,
10,70.4,
11,71.1,
12,71.8,
13,72.5,
14,73.3,
15,74.0,
16,74.7,
17,75.5,
18,76.2,
19,76.9,
20,77.6,
21,78.4,
22,79.1,
23,79.8,
24,80.3,
25,80.7,
26,81.2,
27,81.6,
28,82.0,
29,82.4,
30,82.8,
31,83.2,
32,83.7,
33,84.1,
34,84.5,
35,84.9,
36,85.3,
37,85.8,
38,86.2,
39,86.6,
40,87.0,
41,87.4,
42,87.8,
43,88.3,
44,88.7,
45,89.1,
46,89.5,
47,89.9,
48,90.4,
49,90.9,
50,91.3,
51,91.8,
52,92.2,
53,92.7,
54,93.2,
55,93.6,
56,94.1,
57,94.6,
58,95.0,
59,95.5,
60,95.9,
61,96.4,
62,96.9,
63,97.3,
64,97.8,
65,98.3,
66,98.7,
67,99.2,
68,99.7,
69,100.2,
70,100.9,
71,101.6,
72,102.3,
73,103.1,
74,103.8,
75,104.5,
76,105.2,
77,105.9,
78,106.7,
79,107.4,
80,108.1,
81,108.8,
82,109.5,
83,110.4,
84,111.5,
85,112.6,
86,113.7,
87,114.8,
88,115.9,
89,116.9,
90,118.0,
91,119.1,
92,120.4,
93,122.4,
94,124.4,
95,126.4,
96,128.4,
97,130.9,
98,135.4,
99,139.9,
100,890.0,

